Purchased Parts,Supplier,Quantity,Cost,,Row Total,Mass,Row Total,,Manufactured Parts,Mass
Hubmotor,Repeat Robotics,1,$50,,$50,79,79,,,
Drive Motor,Repeat Robotics,2,35$,,70$,23.9,47.8,,TPU Body,54.02
Brushless Dual ESC,Repeat Robotics,1,45,,45,6,6,,TPU Mount Front,10.78
Weapon ESC,Repeat Robotics,1,13.5,,13.5,6,6,,Wedgelets,4.7
Switch,Repeat Robotics,1,$9,,$9,2.15,2.15,,Weapon Disk,71.66
ELRS Receiver,Amazon,1,24.99,,24.99,3,3,,SRPP Uprights,28.395
3S Lipos 2x,Amazon,1,22.89,,22.89,26,26,,SRPP Top Plate,19.282
Plastite Screws,Amazon,1,6.92,,6.92,,,,Fasteners,36.96066
Shoulder Bolt,Amazon,1,9.99,,9.99,,,,PACF middle,9.63
10/24 Lock Nut,Amazon,1,4.99,,4.99,,,,Wiring,20
M3 x 50mm Screw,Amazon,1,5.49,,5.49,,,,,
18 Gauge Wire,Amazon,1,9.98,,9.98,,,,,
M3 Nylon Nuts,Amazon,1,7.99,,7.99,,,,,
XT30 Pigtail,Amazon,1,9.99,,9.99,,,,,
Banebots Wheels,Palm Beach Bots,2,2.5,,5,11.25,22.5,,,
Wheel Hubs,Palm Beach Bots,2,4,,8,,,,,
Weapon Disk,SendCutSend,1,34.21,,34.21,,,,,
,,,,,,,,,,
,,,,,,,Total Mass,447.87766,,
,,,,,,,Budget,453.592,,
,,,,,,,Difference,5.71434,,
,,,,,,,,,,
,,,,Cost,$338,,,,,
,,,,Shipping,10.51,,,,,
,,,,Total Cost,$348,,,,,